code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,"3/4"" IMPACT WRENCH",BOSCH,GDS18V-770CN,Drills & Drivers,130000302,1,,,,,
,CHARGER LITHIUM -ION STARTER KIT,BOSCH,8 Ah.,Generators & Power,,1,,,,,
,LEAF BLOWER,STIHL,BG56C,Blowers & Yard,539161093,1,,,,,
,"CORD LESS 1/2"" IMPACT WRENCH",BOSCH,GDS18V-740CB14,Drills & Drivers,131000703,1,,,,,
,High Power Battery (8 Ah),BOSCH,GDA18V80,Generators & Power,231210341,1,,,,,
,High Power Battery (8 Ah),BOSCH,GDA18V80,Generators & Power,231210580,1,,,,,
,Charger 4 A/ 18 V,BOSCH,GAL18V-40,Generators & Power,,1,,,,,
,Charger 4 A/ 18 V,BOSCH,GAL18V-40,Generators & Power,,1,,,,,
,Hammer Drill,BOSCH,11264EVS,Drills & Drivers,427000426,1,,,,,
,Reciprocating Saw,BOSCH,RS325,Saws,226001064,1,,,,,
,"4"" Smart Level",,GIM 120,Survey & Layout,428000067,1,,,,,
,50' Heavy Duty Extension cords,,,,,3,,,,,
,"7-1/2"" Warm Drive Circular saw",Skilsaw,,Saws,,1,,,,,
,"Drill Driver 1/4""",Bosch,,Drills & Drivers,,1,,,,,
,"Hammer Drill 1/2""",Bosch,,Drills & Drivers,,1,,,,,
,Power Generator,Honda,,Generators & Power,,1,,,,,
,Quicky Saw,Stihl,,Saws,,1,,,,,
,Pick,,,,,1,,,,,
,Shovel,,,Hand Tools,,4,,,,,
,Concrete Back Pack Vibrator,Wacker Newson,,Compaction,,1,,,,,
,Leaf Blower,Stihl,BG86,Blowers & Yard,,1,,,,,
,Quicky Saw,Stihl,TS-420,Saws,,1,,,,,
,Comelongs concrete tools,,,,,4,,,,,
,Bull Float 6',,,,,1,,,,,
,Fresno 4' concrete tools,,,,,1,,,,,
,Geangle Concrete tools,,,,,6,,,,,
,Metal Gasoline Can with Flex funnel Nozzle Red,Eagle,,,,3,,,,,
,Battery Charger 18V,Bosch,GAL18V-40,Generators & Power,,1,,,,,
,Floodlight,Bosch,GLI18V-1900N,,,1,,,,,
,Hight Power Battery 8Ah,Bosch,GBA18V80,Generators & Power,,1,,,,,
,"chisel 18""",Bosch,HS1912,Hand Tools,,1,,,,,
,"Chisel 16""",Bosch,HS1936,Hand Tools,,1,,,,,
,"concrete diamond blade 14""",Bosch,DB1441E,,,1,,,,,
,"1/2"" High Torque",Milwaukee,2767-20,,,1,,,,,
,"1/2"" High Torque",Milwaukee,2767-20,,,1,,,,,
,"1/4"" Hex Impact Driver",Milwaukee,2953-20,Drills & Drivers,M67AF231403532,1,,,,,
,"1/4"" Hex Impact Driver",Milwaukee,2953-20,Drills & Drivers,M67AF231627506,1,,,,,
,"1/4"" Hex Impact Driver",Bosch,GDX18V-1860C,Drills & Drivers,227000888,1,,,,,
,Concrete Vibrator,Wacker Newson,510000600,Compaction,11609405,1,,,,,
,Concrete Vibrator,Wacker Newson,510000600,Compaction,11599923,1,,,,,
,Sawzall Reciprocating Saw,Milwaukee,2821-22,Saws,L37AD231702655,1,,,,,
,SDS Max Hammer Drill,Bosch,11264EVS,Drills & Drivers,,1,,,,,
,Chopsaw,Sthil,,Saws,,1,,,,,
,Extension Cord 100',Yellow Jacket,,,,4,,,,,
,Generator,Honda,GP5600a,Generators & Power,,1,,,,,
