code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,SDS Max Drill,Wacker Neuson,,Power Tools,684A022100534,1,,,,,
,Hammer Drill,Dewalt,,Power Tools,,1,,,,,
,SDS Max Drill,Bosch,,Power Tools,3611B69010,1,,,,,
,SDS Plus Drill,Metabo,,Power Tools,,1,,,,,
,Water Pump,Wacker Neuson,,,,1,,,,,
,pick,,,,,3,,,,,
,Shovel,,,,,6,,,,,
,Power Generator,WACKER NEWSON,GP 6600,,24306297,1,,,,,
,Hammer Drill,Bosch,RH-850VC,Power Tools,326000198,1,,,,,
,"20"" Walk Behind Concrete Saw",Diamond Products,GX390,Power Tools,170275,1,,,,,
,Skill Saw,,SPTT77W,Power Tools,332000982,1,,,,,
,Skill Saw,,SPTT77W,Power Tools,330000050,1,,,,,
,Hammer Drill,Bosch,11255VSR,Power Tools,225186070,1,,,,,
,Hammer Drill,Bosch,11255VSR,Power Tools,331008983,1,,,,,
,"Angle Grinder 4 1/2""",,GWS10-450P 324024183,Power Tools,,1,,,,,
,Hammer Drill,,11264EVS,Power Tools,522001249,1,,,,,
,Hammer Drill,,11264EVS,Power Tools,525000118,1,,,,,
,"1/2"" Electric Drill",,,Power Tools,c524150N610179,1,,,,,
,Lept Spectra,,AL-28m,,907758-202106,1,,,,,
,"Smart Level 4""",Stabila,,,,1,,,,,
,Concrete Vibrator,WACKER NEWSON,M-1500,,11299047,1,,,,,
,Sumergeble Pump,TSURIMY,HS2.48,,,1,,,,,
,Metal Tank,,5 gal,,,3,,,,,
,Red Metal,,5 gal,,,2,,,,,
,Metal bottle sprayer,,,,,2,,,,,
,Ext cord,,"50\""",,,1,,,,,
,Ext cord,,"25\""",,,2,,,,,
,Power Generator,Honda,EB6500X,,EBCL-151881,1,,,,,
,"7"" Angle Grinder 15anp",,1974-8D,Power Tools,523000128,1,,,,,
,Hammer Drill,,11264EVS,Power Tools,422000799,1,,,,,
,QUIKIE SAW,,TS-420,Power Tools,,1,,,,,
,BACK PACK VIBRATOR,WACKER NEWSON,GEBYT-2081997 24629601,,,1,,,,,
,PLATE COMPACTOR,,,,,1,,,,,
,Fire Extinguisher,Buckeye,5LB,,,2,,,,,
,Hand Blower,STIHL,BG50,,541307606,1,,,,,
,Back Pack Blowers,STIHL,450,,545526852,1,,,,,
,Back Pack Blowers,STIHL,450,,545526641,1,,,,,
,Skill Saw,,,Power Tools,,1,,,,,
,Skill Saw,,,Power Tools,332004110,1,,,,,
,Skill Saw,,,Power Tools,0 32000875,1,,,,,
,QUIKIE SAW,,,Power Tools,,1,,,,,
,Skill Saw,,,Power Tools,,1,,,,,
,"1/2"" Hammer Drill/Driver",DeWalt,DCD996P2,Power Tools,DW235G,1,,,,,
,"1/2"" Impact Wrench",Milwaukee,2767-20,Power Tools,H96AM225119205,1,,,,,
,"1/2"" Impact Wrench",Milwaukee,2767-20,Power Tools,H96AM225119067,1,,,,,
,"1/4"" Hex Impact Driver",Milwaukee,2953-20,Power Tools,M67AF231403677,1,,,,,
,Power Generator,Honda,EB 6500X,,2431600,1,,,,,
,Portable Inverter Generator,Honda,EU 2200i,,EAMT-2741926,1,,,,,
